[01:18:00] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:02] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:03] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:04] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:05] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:06] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:07] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:08] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:10] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:11] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:12] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:18:13] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
